trading_date,is_open
20250102,True
20250103,True
20250106,True
20250107,True
20250108,True
20250109,True
20250110,True
20250113,True
20250114,True
20250115,True
20250116,True
20250117,True
20250120,True
20250121,True
20250122,True
20250123,True
20250124,True
20250127,True
20250205,True
20250206,True
20250207,True
20250210,True
20250211,True
20250212,True
20250213,True
20250214,True
20250217,True
20250218,True
20250219,True
20250220,True
20250221,True
20250224,True
20250225,True
20250226,True
20250227,True
20250228,True
20250303,True
20250304,True
20250305,True
20250306,True
20250307,True
20250310,True
20250311,True
20250312,True
20250313,True
20250314,True
20250317,True
20250318,True
20250319,True
20250320,True
20250321,True
20250324,True
20250325,True
20250326,True
20250327,True
20250328,True
20250331,True
20250401,True
20250402,True
20250403,True
20250407,True
20250408,True
20250409,True
20250410,True
20250411,True
20250414,True
20250415,True
20250416,True
20250417,True
20250418,True
20250421,True
20250422,True
20250423,True
20250424,True
20250425,True
20250428,True
20250429,True
20250430,True
20250506,True
20250507,True
20250508,True
20250509,True
20250512,True
20250513,True
20250514,True
20250515,True
20250516,True
20250519,True
20250520,True
20250521,True
20250522,True
20250523,True
20250526,True
20250527,True
20250528,True
20250529,True
20250530,True
20250603,True
20250604,True
20250605,True
20250606,True
20250609,True
20250610,True
20250611,True
20250612,True
20250613,True
20250616,True
20250617,True
20250618,True
20250619,True
20250620,True
20250623,True
20250624,True
20250625,True
20250626,True
20250627,True
20250630,True
20250701,True
20250702,True
20250703,True
20250704,True
20250707,True
20250708,True
20250709,True
20250710,True
20250711,True
20250714,True
20250715,True
20250716,True
20250717,True
20250718,True
20250721,True
20250722,True
20250723,True
20250724,True
20250725,True
20250728,True
20250729,True
20250730,True
20250731,True
20250801,True
20250804,True
20250805,True
20250806,True
20250807,True
20250808,True
20250811,True
20250812,True
20250813,True
20250814,True
20250815,True
20250818,True
20250819,True
20250820,True
20250821,True
20250822,True
20250825,True
20250826,True
20250827,True
20250828,True
20250829,True
20250901,True
20250902,True
20250903,True
20250904,True
20250905,True
20250908,True
20250909,True
20250910,True
20250911,True
20250912,True
20250915,True
20250916,True
20250917,True
20250918,True
20250919,True
20250922,True
20250923,True
20250924,True
20250925,True
20250926,True
20250929,True
20250930,True
20251009,True
20251010,True
20251013,True
20251014,True
20251015,True
20251016,True
20251017,True
20251020,True
20251021,True
20251022,True
20251023,True
20251024,True
20251027,True
20251028,True
20251029,True
20251030,True
20251031,True
20251103,True
20251104,True
20251105,True
20251106,True
20251107,True
20251110,True
20251111,True
20251112,True
20251113,True
20251114,True
20251117,True
20251118,True
20251119,True
20251120,True
20251121,True
20251124,True
20251125,True
20251126,True
20251127,True
20251128,True
20251201,True
20251202,True
20251203,True
20251204,True
20251205,True
20251208,True
20251209,True
20251210,True
20251211,True
20251212,True
20251215,True
20251216,True
20251217,True
20251218,True
20251219,True
20251222,True
20251223,True
20251224,True
20251225,True
20251226,True
20251229,True
20251230,True
20251231,True
